stair-up,1730,7229
stair-down,9990,15239
stair-up,17990,23839
stair-down,26520,32089
stair-up,34640,40039
stair-down,42740,47699
stair-up,50210,55719
stair-down,58500,63969
stair-up,66860,72929
stair-down,75570,81259
stair-up,84010,89789
stair-down,92360,97159
stair-up,99610,104709
stair-down,107070,111979
stair-up,114130,118899
stair-down,121180,125859
stair-up,128170,133329
stair-down,135770,140889
stair-up,143340,148619
stair-down,151120,155849
stair-up,158380,163919
stair-down,166330,171099
stair-up,173540,179279
stair-down,181490,186389
stair-up,188500,193969
stair-down,196320,200979
stair-up,203440,208669
stair-down,210840,215429
stair-up,217550,222439
stair-down,224530,229279
stair-up,231440,236309
stair-down,238850,243479
stair-up,245850,250579
stair-down,252690,256769
stair-up,259000,263799
stair-down,266160,270409
stair-up,272540,276809
stair-down,278620,283029
stair-up,284970,289459
stair-down,291310,295989
