TSFEL,MKR
abs_energy,abs_energy
auc,auc
autocorr,autocorr
calc_centroid,calc_centroid
calc_max,calc_max
calc_mean,calc_mean
calc_median,calc_median
calc_min,calc_min
calc_std,calc_std
calc_var,calc_var
distance,distance
ecdf_percentile_count,ecdf_percentile_count
ecdf_percentile,ecdf_percentile
ecdf_slope,ecdf_slope
ecdf,ecdf
entropy,entropy
fft_mean_coeff,fft_mean_coeff
fundamental_frequency,
hist,
human_range_energy,human_range_energy
interq_range,interq_range
kurtosis,kurtosis
lpcc,
max_frequency,max_frequency
max_power_spectrum,max_power_spectrum
mean_abs_deviation,mean_abs_deviation
mean_abs_diff,mean_abs_diff
mean_diff,mean_diff
median_abs_deviation,median_abs_deviation
median_abs_diff,median_abs_diff
median_diff,median_diff
median_frequency,median_frequency
mfcc,
pk_pk_distance,pk_pk_distance
power_bandwidth,
rms,rms
skewness,skewness
slope,slope
spectral_centroid,spectral_centroid
spectral_decrease,spectral_decrease
spectral_distance,spectral_distance
spectral_entropy,spectral_entropy
spectral_kurtosis,spectral_kurtosis
spectral_roll_off,spectral_roll_off
spectral_roll_on,spectral_roll_on
spectral_skewness,spectral_skewness
spectral_slope,spectral_slope
spectral_spread,spectral_spread
spectral_variation,spectral_variation
sum_abs_diff,sum_abs_diff
total_energy,total_energy
wavelet_abs_mean,
wavelet_energy,
wavelet_entropy,
wavelet_std,
wavelet_var,
zero_cross,zero_cross
